instruction,output
Which Kubernetes metric is used to track the number of nodes?,kubernetes_state_node_count
Which Kubernetes metric is used to track the total CPU resources of a node?,kubernetes_state_node_cpu_capacity
Which Kubernetes metric is used to track the total memory resources of a node?,kubernetes_state_node_memory_capacity
Which Kubernetes metric is used to track the total pod resources of a node?,kubernetes_state_node_pods_capacity
Which Kubernetes metric is used to track the available GPU resources of a node for scheduling?,kubernetes_state_node_gpu_cards_allocatable
Which Kubernetes metric is used to track the total GPU resources of a node?,kubernetes_state_node_gpu_cards_capacity
Which Kubernetes metric is used to track the available CPU resources of a node for scheduling?,kubernetes_state_node_cpu_allocatable
Which Kubernetes metric is used to track the available memory resources of a node for scheduling,kubernetes_state_node_memory_allocatable
Which Kubernetes metric is used to monitor the available pod resources for scheduling on a node?,kubernetes_state_node_pods_allocatable
Which Kubernetes metric indicates whether a node can schedule new pods?,kubernetes_state_node_status
"Which Kubernetes metric, when summed by condition and status, provides the count of nodes in a specific condition?",kubernetes_state_nodes_by_condition
Which Kubernetes metric tracks the container's CPU load average over the past 10 seconds?,kubernetes_cpu_load_10s_avg
Which Kubernetes metric measures the number of cores utilized for system time?,kubernetes_cpu_system_total
Which Kubernetes metric measures the number of cores utilized for user time?,kubernetes_cpu_user_total
Which Kubernetes metric counts the elapsed enforcement period intervals?,kubernetes_cpu_cfs_periods
Which Kubernetes metric counts the throttled period intervals?,kubernetes_cpu_cfs_throttled_periods
Which Kubernetes metric measures the total duration for which the container has been throttled?,kubernetes_cpu_cfs_throttled_seconds
Which Kubernetes metric tracks the number of cores used?,kubernetes_cpu_usage_total
Which Kubernetes metric indicates the limit set for CPU cores?,kubernetes_cpu_limits
Which Kubernetes metric tracks the requested CPU cores?,kubernetes_cpu_requests
Which Kubernetes metric measures the amount of disk storage used?,kubernetes_filesystem_usage
Which Kubernetes metric measures the percentage of disk storage used?,kubernetes_filesystem_usage_pct
Which Kubernetes metric tracks the amount of bytes read from a specific disk?,kubernetes_io_read_bytes
Which Kubernetes metric tracks the amount of bytes written to a specific disk?,kubernetes_io_write_bytes
Which Kubernetes metric indicates the limit set for memory usage?,kubernetes_memory_limits
Which Kubernetes metric indicates the limit set for swap space usage?,kubernetes_memory_sw_limit
Which Kubernetes metric tracks the requested memory by a container?,kubernetes_memory_requests
"Which Kubernetes metric is used to monitor the current memory usage in bytes, including all memory regardless of when it was accessed?",kubernetes_memory_usage
"Which Kubernetes metric tracks the current working set of memory in bytes, which is observed by the OOM killer?",kubernetes_memory_working_set
Which Kubernetes metric measures the amount of memory used for caching data from disk?,kubernetes_memory_cache
Which Kubernetes metric tracks the size of Resident Set Size (RSS) in bytes?,kubernetes_memory_rss
Which Kubernetes metric measures the amount of swap space currently used by processes in a specific cgroup?,kubernetes_memory_swap
Which Kubernetes metric indicates the percentage of memory used?,kubernetes_memory_usage_pct
Which Kubernetes metric indicates the percentage of swap space used?,kubernetes_memory_sw_in_use
Which Kubernetes metric measures the amount of bytes received per second?,kubernetes_network_rx_bytes
Which Kubernetes metric measures the number of received packets dropped per second?,kubernetes_network_rx_dropped
Which Kubernetes metric measures the number of received errors per second?,kubernetes_network_rx_errors
Which Kubernetes metric measures the amount of bytes transmitted per second?,kubernetes_network_tx_bytes
Which Kubernetes metric measures the number of transmitted packets dropped per second?,kubernetes_network_tx_dropped
Which Kubernetes metric measures the number of transmission errors per second?,kubernetes_network_tx_errors
Which Kubernetes metric tracks the amount of disk space used by a container?,kubernetes_diskio_io_service_bytes_stats_total
Which Kubernetes metric tracks the remaining lifetime of the certificate used to authenticate a request?,kubernetes_apiserver_certificate_expiration_count
Which Kubernetes metric sums the remaining lifetime of certificates used to authenticate requests?,kubernetes_apiserver_certificate_expiration_sum
Which Kubernetes metric tracks the number of HTTP requests?,kubernetes_rest_client_requests
"Which Kubernetes metric counts the request latency in seconds, broken down by verb and URL?",kubernetes_rest_client_latency_count
"Which Kubernetes metric sums the request latency in seconds, broken down by verb and URL?",kubernetes_rest_client_latency_sum
Which Kubernetes metric tracks the number of runtime operations?,kubernetes_kubelet_runtime_operations
Which Kubernetes metric tracks the number of errors in runtime operations?,kubernetes_kubelet_runtime_errors
Which Kubernetes metric sums the latency in microseconds of network plugin operations?,kubernetes_kubelet_network_plugin_latency_sum
Which Kubernetes metric counts the network plugin operations by latency?,kubernetes_kubelet_network_plugin_latency_count
Which Kubernetes metric provides the quantiles of network plugin operations by latency?,kubernetes_kubelet_network_plugin_latency_quantile
Which Kubernetes metric indicates the number of available bytes in a specific volume?,kubernetes_kubelet_volume_stats_available_bytes
Which Kubernetes metric indicates the capacity in bytes of a specific volume?,kubernetes_kubelet_volume_stats_capacity_bytes
Which Kubernetes metric indicates the number of used bytes in a specific volume?,kubernetes_kubelet_volume_stats_used_bytes
Which Kubernetes metric indicates the maximum number of inodes in a specific volume?,kubernetes_kubelet_volume_stats_inodes
Which Kubernetes metric indicates the number of free inodes in a specific volume?,kubernetes_kubelet_volume_stats_inodes_free
Which Kubernetes metric indicates the number of used inodes in a specific volume?,kubernetes_kubelet_volume_stats_inodes_used
Which Kubernetes metric tracks the usage of ephemeral storage by a pod?,kubernetes_ephemeral_storage_usage
Which Kubernetes metric measures the number of cores used by the kubelet?,kubernetes_kubelet_cpu_usage
Which Kubernetes metric measures the size of kubelet RSS in bytes?,kubernetes_kubelet_memory_rss
Which Kubernetes metric measures the number of cores used by the runtime?,kubernetes_runtime_cpu_usage
Which Kubernetes metric measures the size of runtime RSS in bytes?,kubernetes_runtime_memory_rss
Which Kubernetes metric tracks the amount of disk space used by a container's logs on the filesystem?,kubernetes_kubelet_container_log_filesystem_used_bytes
Which Kubernetes metric tracks the current phase of a persistent volume claim?,kubernetes_state_persistentvolumeclaim_status
Which Kubernetes metric indicates the storage space requested for a specific persistent volume claim?,kubernetes_state_persistentvolumeclaim_request_storage
"Which Kubernetes metric counts the number of persistent volumes, summed by phase and storage class?",kubernetes_state_persistentvolumes_by_phase
Which Kubernetes metric indicates the number of available bytes in a specific volume?,kubernetes_kubelet_volume_stats_available_bytes
Which Kubernetes metric indicates the capacity in bytes of a specific volume?,kubernetes_kubelet_volume_stats_capacity_bytes
Which Kubernetes metric indicates the number of used bytes in a specific volume?,kubernetes_kubelet_volume_stats_used_bytes
Which Kubernetes metric indicates the maximum number of inodes in a specific volume?,kubernetes_kubelet_volume_stats_inodes
Which Kubernetes metric indicates the number of free inodes in a specific volume?,kubernetes_kubelet_volume_stats_inodes_free
Which Kubernetes metric indicates the number of used inodes in a specific volume?,kubernetes_kubelet_volume_stats_inodes_used
"Which Kubernetes metric, in association with the condition tag, tracks pods that are ready to serve requests, e.g., condition:true for pods in a ready state.",kubernetes_state_pod_ready
Report the Kubernetes metric used to track the scheduling status of a pod with its tags.,kubernetes_state_pod_scheduled
Which Kubernetes metric is used to report pods that the Kube scheduler cannot schedule on any node?,kubernetes_state_pod_unschedulable
"Sum by phase to obtain the count of pods in a given phase, and use namespace to break it down by namespace.",kubernetes_state_pod_status_phase
Which Kubernetes metric is used to track the number of running pods in a cluster?,kubernetes_pods_running
Which Kubernetes metric is used to track the number of expired pods in a cluster?,kubernetes_pods_expired
Which Kubernetes metric tracks the current phase of a persistent volume claim?,kubernetes_state_persistentvolumeclaim_status
Which Kubernetes metric indicates the storage space requested for a specific persistent volume claim?,kubernetes_state_persistentvolumeclaim_request_storage
Which Kubernetes metric is used to track the number of replicasets?,kubernetes_state_replicaset_count
Which Kubernetes metric is used to track the number of replicas per ReplicaSet?,kubernetes_state_replicaset_replicas
Which Kubernetes metric is used to track the number of fully labeled replicas per ReplicaSet?,kubernetes_state_replicaset_fully_labeled_replicas
Which Kubernetes metric is used to track the number of ready replicas per ReplicaSet?,kubernetes_state_replicaset_replicas_ready
Which Kubernetes metric is used to track the number of desired pods for a ReplicaSet?,kubernetes_state_replicaset_replicas_desired
"Which Kubernetes metric, when summed by namespace and type, provides the count of active services?",kubernetes_state_service_count
Which Kubernetes metric is used to track the number of replicas per StatefulSet?,kubernetes_state_statefulset_replicas
Which Kubernetes metric is used to track the number of desired replicas per StatefulSet?,kubernetes_state_statefulset_replicas_desired
Which Kubernetes metric is used to track the number of current replicas per StatefulSet?,kubernetes_state_statefulset_replicas_current
Which Kubernetes metric is used to track the number of ready replicas per StatefulSet?,kubernetes_state_statefulset_replicas_ready
Which Kubernetes metric is used to track the number of updated replicas per StatefulSet?,kubernetes_state_statefulset_replicas_updated
kafka topic partition count,kafka_topic_partition_count
kafka topic partition leader count by broker_id by each topic for job='my-job',"count_values by (topic) ('broker_id',kafka_topic_partition_leader{job='my-job'})"
counts the occurrences of each unique broker_id across different topics. \nThe metric you are working with is named kafka_topic_partition_leader and it includes a label for the job named 'my-job'.,"count_values by (topic) ('broker_id',kafka_topic_partition_leader{job='my-job'})"
counts the occurrences of each unique broker_id across different topics. \nThe metric you are working with is named my_very_good_metric and it includes a label for the job named 'my-job'.,"count_values by (topic) ('broker_id',my_very_good_metric{job='my-job'})"
counts the occurrences of each unique broker_id across different topics. \nThe metric you are working with is named my_very_good_metric and it includes a label for the job named 'my-job'.,"count_values by (topic) ('broker_id',my_very_good_metric{job='my-job'})"
Single Value,cpu_temperature
Direct Representation,available_memory_bytes
Fundamental Building Block,cpu_usage + memory_usage
Character Sequence,service_name'
Labeling,"http_requests_total{environment=""production""}"
Metadata,"instance=""webserver-01"""
Quoting,"""metric_name"" or 'metric_name'"
Usage,"up{job=""api"", environment='staging'}"
High Memory Utilization Instances,node_memory_MemUsage_bytes > 80e9
Rate of HTTP Requests,rate(http_requests_total[5m])
Combined Network Traffic,"sum(rate(network_traffic_bytes{direction=""in""}[1h])) + sum(rate(network_traffic_bytes{direction=""out""}[1h]))"
Sum of HTTP Request Rates over the Last 5 Minutes,sum(rate(http_requests_total[5m]))
Average CPU Usage over the Last Hour,avg(cpu_usage_percent[1h])
Total Disk Space Used in Bytes over the Last 30 Minutes,sum(node_filesystem_size_bytes - node_filesystem_free_bytes) offset 30m
Rate of Error Responses in the Past 15 Minutes,rate(http_responses_error_total[15m])
Changes in Available Memory over the Last 10 Minutes,changes(node_memory_MemAvailable_bytes[10m])
90th Percentile Response Time for API Requests in the Last 20 Minutes,"histogram_quantile(0.9, rate(api_request_duration_seconds_bucket[20m]))"
Combining Conditions,up == 1 and http_requests_total > 100
Negating Conditions,"not job{job=""api""} == 0"
Conditional Expression,rate(http_requests_total[5m]) > 10 or (node_memory_MemFree_bytes / node_memory_MemTotal_bytes) < 0.2
offset for Rate Shifting,rate(http_requests_total[5m]) > offset 1h rate(http_requests_total[5m])
offset for Value Comparison,cpu_temperature > offset 1d cpu_temperature
offset for Rate of Change,rate(cpu_usage[1h]) - rate(cpu_usage[2h])
offset for Historical Comparisons,http_requests_total > offset 7d http_requests_total
Total Count,http_requests_total
Rate of Change (Requests Per Second),rate(http_requests_total[1m])
Error Rate as a Percentage,100 * (http_errors_total / http_requests_total)
Increase in Count Since Last Hour,increase(http_requests_total[1h])
Average Memory Utilization over 5 Minutes,avg_over_time(memory_usage[5m])
Number of Active Connections,http_connections
Disk Space Utilization,100 - (disk_free / disk_total) * 100
Average Duration,rate(http_request_duration_seconds_sum[1m]) / rate(http_request_duration_seconds_count[1m])
90th Percentile Response Time,"histogram_quantile(0.9, sum(rate(http_request_duration_seconds_bucket[1m])) by (le))"
Bucket Counts,http_request_duration_seconds_count
Sum of Request Durations in Top 3 Buckets,"sum(http_request_duration_seconds_bucket{le=~""0.1|0.5|1.0""})"
Average Duration over Last 5 Minutes,rate(http_request_duration_seconds_sum[5m]) / rate(http_request_duration_seconds_count[5m])
90th Percentile Response Time,"quantile(0.9, http_request_duration_seconds)"
Count of Requests in the Last Hour,http_request_duration_seconds_count[1h]
Sum of Response Durations in the Last 10 Minutes,sum(rate(http_request_duration_seconds_sum[10m]))
total number of available bytes combining all the partitions,sum by(instance)(node_filesystem_avail_bytes)
the total number of HTTP requests,rate(prometheus_http_requests_total[24h])
the total HTTP request per second averaged over the past 24 hours,"sum without(code,handler)(rate(prometheus_http_requests_total[24h]))"
the rate of the total number of HTTP request per second,sum without(handler)(rate(prometheus_http_response_size_bytes_count[24h]))
To calculate the number of bytes returned by Prometheus,sum without(handler)(rate(prometheus_http_response_size_bytes_sum[24h]))
To calculate the average response size,sum without(handler)(rate(prometheus_http_response_size_bytes_sum[24h])) / sum without(handler)(rate(prometheus_http_response_size_bytes_count[24h]))
Average latency of operations on the DB (seconds); returned only when there is traffic,bdb_avg_latency
Highest value of average latency of operations on the DB (seconds); returned only when there is traffic,bdb_avg_latency_max
Average latency of read operations (seconds); returned only when there is traffic,bdb_avg_read_latency
Highest value of average latency of read operations (seconds); returned only when there is traffic,bdb_avg_read_latency_max
Average latency of write operations (seconds); returned only when there is traffic,bdb_avg_write_latency
Highest value of average latency of write operations (seconds); returned only when there is traffic,bdb_avg_write_latency_max
Shard count by database and by storage engine (driver - rocksdb / speedb); Only for databases with Auto Tiering enabled,bdb_bigstore_shard_count
Number of client connections to DB,bdb_conns
Rate of outgoing network traffic from the DB (bytes/sec),bdb_egress_bytes
Highest value of rate of outgoing network traffic from the DB (bytes/sec),bdb_egress_bytes_max
Rate of key evictions from DB (evictions/sec),bdb_evicted_objects
Highest value of rate of key evictions from DB (evictions/sec),bdb_evicted_objects_max
Rate keys expired in DB (expirations/sec),bdb_expired_objects
Highest value of rate keys expired in DB (expirations/sec),bdb_expired_objects_max
% cores utilization in system mode for all redis shard fork child processes of this database,bdb_fork_cpu_system
Highest value of % cores utilization in system mode for all redis shard fork child processes of this database,bdb_fork_cpu_system_max
% cores utilization in user mode for all redis shard fork child processes of this database,bdb_fork_cpu_user
Highest value of % cores utilization in user mode for all redis shard fork child processes of this database,bdb_fork_cpu_user_max
Rate of incoming network traffic to DB (bytes/sec),bdb_ingress_bytes
Highest value of rate of incoming network traffic to DB (bytes/sec),bdb_ingress_bytes_max
Request rate handled by all shards of DB (ops/sec),bdb_instantaneous_ops_per_sec
% cores utilization in system mode for all redis shard main threads of this database,bdb_main_thread_cpu_system
Highest value of % cores utilization in system mode for all redis shard main threads of this database,bdb_main_thread_cpu_system_max
% cores utilization in user mode for all redis shard main threads of this database,bdb_main_thread_cpu_user
Highest value of % cores utilization in user mode for all redis shard main threads of this database,bdb_main_thread_cpu_user_max
RAM fragmentation ratio (RSS / allocated RAM),bdb_mem_frag_ratio
scripting heap size (bytes),bdb_mem_size_lua
Configured RAM limit for the database,bdb_memory_limit
Number of client connected in monitor mode to the DB,bdb_monitor_sessions_count
Number of keys in DB,bdb_no_of_keys
Rate of other (non read/write) requests on DB (ops/sec),bdb_other_req
Highest value of rate of other (non read/write) requests on DB (ops/sec),bdb_other_req_max
Rate of other (non read/write) responses on DB (ops/sec),bdb_other_res
Highest value of rate of other (non read/write) responses on DB (ops/sec),bdb_other_res_max
Count the pub/sub channels with subscribed clients,bdb_pubsub_channels
Highest value of count the pub/sub channels with subscribed clients,bdb_pubsub_channels_max
Count the pub/sub patterns with subscribed clients,bdb_pubsub_patterns
Highest value of count the pub/sub patterns with subscribed clients,bdb_pubsub_patterns_max
Rate of read operations accessing an existing key (ops/sec),bdb_read_hits
Highest value of rate of read operations accessing an existing key (ops/sec),bdb_read_hits_max
Rate of read operations accessing a non-existing key (ops/sec),bdb_read_misses
Highest value of rate of read operations accessing a non-existing key (ops/sec),bdb_read_misses_max
Rate of read requests on DB (ops/sec),bdb_read_req
Highest value of rate of read requests on DB (ops/sec),bdb_read_req_max
Rate of read responses on DB (ops/sec),bdb_read_res
Highest value of rate of read responses on DB (ops/sec),bdb_read_res_max
% cores utilization in system mode for all redis shard processes of this database,bdb_shard_cpu_system
Highest value of % cores utilization in system mode for all redis shard processes of this database,bdb_shard_cpu_system_max
% cores utilization in user mode for the redis shard process,bdb_shard_cpu_user
Highest value of % cores utilization in user mode for the redis shard process,bdb_shard_cpu_user_max
Used shard count by database and by shard type (ram / flash),bdb_shards_used
Rate of new client connections to DB (connections/sec),bdb_total_connections_received
Highest value of rate of new client connections to DB (connections/sec),bdb_total_connections_received_max
Rate of all requests on DB (ops/sec),bdb_total_req
Highest value of rate of all requests on DB (ops/sec),bdb_total_req_max
Rate of all responses on DB (ops/sec),bdb_total_res
Highest value of rate of all responses on DB (ops/sec),bdb_total_res_max
Database is up and running,bdb_up
Memory used by db (in bigredis this includes flash) (bytes),bdb_used_memory
Rate of write operations accessing an existing key (ops/sec),bdb_write_hits
Highest value of rate of write operations accessing an existing key (ops/sec),bdb_write_hits_max
Rate of write operations accessing a non-existing key (ops/sec),bdb_write_misses
Highest value of rate of write operations accessing a non-existing key (ops/sec),bdb_write_misses_max
Rate of write requests on DB (ops/sec),bdb_write_req
Highest value of rate of write requests on DB (ops/sec),bdb_write_req_max
Rate of write responses on DB (ops/sec),bdb_write_res
Highest value of rate of write responses on DB (ops/sec),bdb_write_res_max
Current number of volatile keys in the database,no_of_expires
Available flash in node (bytes),node_available_flash
"Available flash in node (bytes), without taking into account overbooking",node_available_flash_no_overbooking
Amount of free memory in node (bytes) that is available for database provisioning,node_available_memory
Available ram in node (bytes) without taking into account overbooking,node_available_memory_no_overbooking
Average latency of requests handled by endpoints on the node in milliseconds; returned only when there is traffic,node_avg_latency
Sum of free space of back-end flash (used by flash DB's [BigRedis]) on all cluster nodes (bytes); returned only when BigRedis is enabled,node_bigstore_free
Rate of i/o operations against back-end flash for all shards which are part of a flash based DB (BigRedis) in cluster (ops/sec); returned only when BigRedis is enabled,node_bigstore_iops
Rate of value read/write operations against back-end flash for all shards which are part of a flash based DB (BigRedis) in cluster (ops/sec); returned only when BigRedis is enabled,node_bigstore_kv_ops
Throughput i/o operations against back-end flash for all shards which are part of a flash based DB (BigRedis) in cluster (bytes/sec); returned only when BigRedis is enabled,node_bigstore_throughput
Certificate expiration (in seconds) per given node,node_cert_expiration_seconds
Number of clients connected to endpoints on node,node_conns
"CPU idle time portion (0-1, multiply by 100 to get percent)",node_cpu_idle
"Highest value of CPU idle time portion (0-1, multiply by 100 to get percent)",node_cpu_idle_max
"Average value of CPU idle time portion (0-1, multiply by 100 to get percent)",node_cpu_idle_median
"Lowest value of CPU idle time portion (0-1, multiply by 100 to get percent)",node_cpu_idle_min
"CPU time portion spent in kernel (0-1, multiply by 100 to get percent)",node_cpu_system
"Highest value of CPU time portion spent in kernel (0-1, multiply by 100 to get percent)",node_cpu_system_max
"Average value of CPU time portion spent in kernel (0-1, multiply by 100 to get percent)",node_cpu_system_median
"Lowest value of CPU time portion spent in kernel (0-1, multiply by 100 to get percent)",node_cpu_system_min
"CPU time portion spent by users-pace processes (0-1, multiply by 100 to get percent)",node_cpu_user
"Highest value of CPU time portion spent by users-pace processes (0-1, multiply by 100 to get percent)",node_cpu_user_max
"Average value of CPU time portion spent by users-pace processes (0-1, multiply by 100 to get percent)",node_cpu_user_median
"Lowest value of CPU time portion spent by users-pace processes (0-1, multiply by 100 to get percent)",node_cpu_user_min
Number of aof rewrites that are currently performed by shards on this node,node_cur_aof_rewrites
Rate of outgoing network traffic to node (bytes/sec),node_egress_bytes
Highest value of rate of outgoing network traffic to node (bytes/sec),node_egress_bytes_max
Average value of rate of outgoing network traffic to node (bytes/sec),node_egress_bytes_median
Lowest value of rate of outgoing network traffic to node (bytes/sec),node_egress_bytes_min
Disk space available to RLEC processes on configured ephemeral disk (bytes),node_ephemeral_storage_avail
Free disk space on configured ephemeral disk (bytes),node_ephemeral_storage_free
Free memory in node (bytes),node_free_memory
Rate of incoming network traffic to node (bytes/sec),node_ingress_bytes
Highest value of rate of incoming network traffic to node (bytes/sec),node_ingress_bytes_max
Average value of rate of incoming network traffic to node (bytes/sec),node_ingress_bytes_median
Lowest value of rate of incoming network traffic to node (bytes/sec),node_ingress_bytes_min
Disk space available to RLEC processes on configured persistent disk (bytes),node_persistent_storage_avail
Free disk space on configured persistent disk (bytes),node_persistent_storage_free
"Amount of flash available for new shards on this node, taking into account overbooking, max redis servers, reserved flash and provision and migration thresholds (bytes)",node_provisional_flash
"Amount of flash available for new shards on this node, without taking into account overbooking, max redis servers, reserved flash and provision and migration thresholds (bytes)",node_provisional_flash_no_overbooking
Amount of RAM that is available for provisioning to databases out of the total RAM allocated for databases,node_provisional_memory
"Amount of RAM that is available for provisioning to databases out of the total RAM allocated for databases, without taking into account overbooking",node_provisional_memory_no_overbooking
Request rate handled by endpoints on node (ops/sec),node_total_req
Node is part of the cluster and is connected,node_up
Show the current number of open connections to the database.,db_open_connections
Total shared limit by the license by shard type (ram / flash),cluster_shards_limit
"Accumulative latency (sum of the latencies) of all types of commands on DB. For the average latency, divide this value by listener_total_res",listener_acc_latency
Highest value of accumulative latency of all types of commands on DB,listener_acc_latency_max
"Accumulative latency (sum of the latencies) of commands that are type ""other"" on DB. For the average latency, divide this value by listener_other_res",listener_acc_other_latency
"Highest value of accumulative latency of commands that are type ""other"" on DB",listener_acc_other_latency_max
"Accumulative latency (sum of the latencies) of commands that are type ""read"" on DB. For the average latency, divide this value by listener_read_res",listener_acc_read_latency
"Highest value of accumulative latency of commands that are type ""read"" on DB",listener_acc_read_latency_max
"Accumulative latency (sum of the latencies) of commands that are type ""write"" on DB. For the average latency, divide this value by listener_write_res",listener_acc_write_latency
"Highest value of accumulative latency of commands that are type ""write"" on DB",listener_acc_write_latency_max
Number of memcached AUTH commands sent to the DB,listener_auth_cmds
Highest value of number of memcached AUTH commands sent to the DB,listener_auth_cmds_max
Number of error responses to memcached AUTH commands,listener_auth_errors
Highest value of number of error responses to memcached AUTH commands,listener_auth_errors_max
Number of memcached FLUSH_ALL commands sent to the DB,listener_cmd_flush
Highest value of number of memcached FLUSH_ALL commands sent to the DB,listener_cmd_flush_max
Number of memcached GET commands sent to the DB,listener_cmd_get
Highest value of number of memcached GET commands sent to the DB,listener_cmd_get_max
Number of memcached SET commands sent to the DB,listener_cmd_set
Highest value of number of memcached SET commands sent to the DB,listener_cmd_set_max
Number of memcached TOUCH commands sent to the DB,listener_cmd_touch
Highest value of number of memcached TOUCH commands sent to the DB,listener_cmd_touch_max
Number of clients connected to the endpoint,listener_conns
Rate of outgoing network traffic to the endpoint (bytes/sec),listener_egress_bytes
Highest value of rate of outgoing network traffic to the endpoint (bytes/sec),listener_egress_bytes_max
Rate of incoming network traffic to the endpoint (bytes/sec),listener_ingress_bytes
Highest value of rate of incoming network traffic to the endpoint (bytes/sec),listener_ingress_bytes_max
Time of last command sent to the DB,listener_last_req_time
Time of last response sent from the DB,listener_last_res_time
Number of times the Number of clients connected to the db at the same time has exeeded the max limit,listener_max_connections_exceeded
Highest value of number of times the Number of clients connected to the db at the same time has exeeded the max limit,listener_max_connections_exceeded_max
Number of client connected in monitor mode to the endpoint,listener_monitor_sessions_count
Rate of other (non read/write) requests on the endpoint (ops/sec),listener_other_req
Highest value of rate of other (non read/write) requests on the endpoint (ops/sec),listener_other_req_max
Rate of other (non read/write) responses on the endpoint (ops/sec),listener_other_res
Highest value of rate of other (non read/write) responses on the endpoint (ops/sec),listener_other_res_max
"Number of responses sent from the DB of type ""other""",listener_other_started_res
"Highest value of number of responses sent from the DB of type ""other""",listener_other_started_res_max
Rate of read requests on the endpoint (ops/sec),listener_read_req
Highest value of rate of read requests on the endpoint (ops/sec),listener_read_req_max
Rate of read responses on the endpoint (ops/sec),listener_read_res
Highest value of rate of read responses on the endpoint (ops/sec),listener_read_res_max
"Number of responses sent from the DB of type ""read""",listener_read_started_res
"Highest value of number of responses sent from the DB of type ""read""",listener_read_started_res_max
Rate of new client connections to the endpoint (connections/sec),listener_total_connections_received
Highest value of rate of new client connections to the endpoint (connections/sec),listener_total_connections_received_max
Request rate handled by the endpoint (ops/sec),listener_total_req
Highest value of rate of all requests on the endpoint (ops/sec),listener_total_req_max
Rate of all responses on the endpoint (ops/sec),listener_total_res
Highest value of rate of all responses on the endpoint (ops/sec),listener_total_res_max
Number of responses sent from the DB of all types,listener_total_started_res
Highest value of number of responses sent from the DB of all types,listener_total_started_res_max
Rate of write requests on the endpoint (ops/sec),listener_write_req
Highest value of rate of write requests on the endpoint (ops/sec),listener_write_req_max
Rate of write responses on the endpoint (ops/sec),listener_write_res
Highest value of rate of write responses on the endpoint (ops/sec),listener_write_res_max
"Number of responses sent from the DB of type ""write""",listener_write_started_res
"Highest value of number of responses sent from the DB of type ""write""",listener_write_started_res_max
"Syncer status for CRDB traffic; 0 = in-sync, 1 = syncing, 2 = out of sync",bdb_crdt_syncer_status
Rate of compressed incoming network traffic to Replica Of DB (bytes/sec),bdb_replicaof_syncer_ingress_bytes
Rate of decompressed incoming network traffic to Replica Of DB (bytes/sec),bdb_replicaof_syncer_ingress_bytes_decompressed
Lag time between the source and the destination for Replica Of traffic (ms),bdb_replicaof_syncer_local_ingress_lag_time
"Syncer status for Replica Of traffic; 0 = in-sync, 1 = syncing, 2 = out of sync",bdb_replicaof_syncer_status
Rate of compressed incoming network traffic to CRDB (bytes/sec),bdb_crdt_syncer_ingress_bytes
Rate of decompressed incoming network traffic to CRDB (bytes/sec),bdb_crdt_syncer_ingress_bytes_decompressed
Lag time between the source and the destination (ms) for CRDB traffic,bdb_crdt_syncer_local_ingress_lag_time
What is the average CPU usage for the past 24 hours?,avg(rate(node_cpu_seconds_total[24h]))
What is the maximum memory usage in the last hour?,max_over_time(node_memory_MemTotal_bytes[1h])
Show the total number of HTTP requests in the last 5 minutes.,sum(rate(http_requests_total[5m]))
Display the disk write IOPS for the past day.,sum(rate(node_disk_writes_completed_total[24h]))
What is the 99th percentile response time for the last week?,"histogram_quantile(0.99, sum(rate(http_request_duration_seconds_bucket[1w])) by (le))"
How many errors occurred in the last 30 minutes?,sum(rate(errors_total[30m]))
Show the current number of active sessions.,current_sessions
Display the average network transmit rate for the last hour.,avg(rate(node_network_transmit_bytes_total[1h]))
What is the minimum available memory over the past day?,min_over_time(node_memory_MemAvailable_bytes[24h])
Show the CPU usage per core for the last 15 minutes.,rate(node_cpu_seconds_total[15m]) by (cpu)
What is the current CPU temperature?,node_hwmon_temp_celsius
Show the average load for the past week.,avg_over_time(node_load1[1w])
Display the total number of bytes received on eth0 in the last hour.,"sum(rate(node_network_receive_bytes_total{device=""eth0""}[1h]))"
What is the highest CPU usage recorded in the past day?,max_over_time(rate(node_cpu_seconds_total[1d]))
Show the memory usage for each pod in the last 10 minutes.,rate(container_memory_usage_bytes[10m]) by (pod)
Display the disk read bytes rate for the past hour.,rate(node_disk_read_bytes_total[1h])
What is the average HTTP response time for the last 5 minutes?,avg(rate(http_request_duration_seconds_sum[5m]) / rate(http_request_duration_seconds_count[5m]))
Show the current number of active user sessions.,active_user_sessions
Display the total number of database queries executed in the last 24 hours.,sum(rate(db_queries_total[24h]))
What is the 95th percentile of memory usage for the past month?,"histogram_quantile(0.95, sum(rate(node_memory_MemTotal_bytes_bucket[4w])) by (le))"
What is the current CPU usage?,rate(node_cpu_seconds_total[1m])
Show the memory usage for the last hour.,avg_over_time(node_memory_MemTotal_bytes[1h])
Display the total disk read bytes in the last 24 hours.,sum(node_disk_read_bytes_total[24h])
What is the network transmit rate on eth0 for the past 30 minutes?,"rate(node_network_transmit_bytes_total{device=""eth0""}[30m])"
Show the current number of running processes.,node_procs_running
Display the average load for the past 5 minutes.,avg_over_time(node_load1[5m])
What is the total number of HTTP 500 errors in the last hour?,"sum(rate(http_requests_total{status=""500""}[1h]))"
Show the disk space usage for /var in the last day.,"avg_over_time(node_filesystem_size_bytes{mountpoint=""/var""}[1d]) - avg_over_time(node_filesystem_free_bytes{mountpoint=""/var""}[1d])"
What is the maximum CPU usage recorded in the last 15 minutes?,max_over_time(rate(node_cpu_seconds_total[15m]))
Display the total number of login attempts in the last 10 minutes.,sum(rate(login_attempts_total[10m]))
